"Periods";"Regions";"Average purchase price (euro)"
"2022";"Utrecht (PV)";510098
"2023";"Utrecht (PV)";476555
"1995";"Noord-Holland (PV)";101308
"1996";"Noord-Holland (PV)";110897
"1997";"Noord-Holland (PV)";122776
"1998";"Noord-Holland (PV)";141255
"1999";"Noord-Holland (PV)";168100
"2000";"Noord-Holland (PV)";203428
"2001";"Noord-Holland (PV)";220723
"2002";"Noord-Holland (PV)";230964
"2003";"Noord-Holland (PV)";229682
"2004";"Noord-Holland (PV)";236614
"2005";"Noord-Holland (PV)";247406
"2006";"Noord-Holland (PV)";263306
"2007";"Noord-Holland (PV)";285839
"2008";"Noord-Holland (PV)";295730
"2009";"Noord-Holland (PV)";273913
"2010";"Noord-Holland (PV)";275914
"2011";"Noord-Holland (PV)";279072
"2012";"Noord-Holland (PV)";258872
"2013";"Noord-Holland (PV)";243147
"2014";"Noord-Holland (PV)";257128
"2015";"Noord-Holland (PV)";273911
"2016";"Noord-Holland (PV)";301899
"2017";"Noord-Holland (PV)";333082
"2018";"Noord-Holland (PV)";373688
"2019";"Noord-Holland (PV)";396601
"2020";"Noord-Holland (PV)";424553
"2021";"Noord-Holland (PV)";490225
"2022";"Noord-Holland (PV)";536786
"2023";"Noord-Holland (PV)";507271
"1995";"Zuid-Holland (PV)";90469
"1996";"Zuid-Holland (PV)";100002
"1997";"Zuid-Holland (PV)";109367
"1998";"Zuid-Holland (PV)";117790
"1999";"Zuid-Holland (PV)";135551
"2000";"Zuid-Holland (PV)";159392
"2001";"Zuid-Holland (PV)";175719
"2002";"Zuid-Holland (PV)";187461
"2003";"Zuid-Holland (PV)";194716
"2004";"Zuid-Holland (PV)";201760
"2005";"Zuid-Holland (PV)";213568
"2006";"Zuid-Holland (PV)";225806
"2007";"Zuid-Holland (PV)";235504
"2008";"Zuid-Holland (PV)";242050
"2009";"Zuid-Holland (PV)";227133
"2010";"Zuid-Holland (PV)";230543
"2011";"Zuid-Holland (PV)";232987
"2012";"Zuid-Holland (PV)";219399
"2013";"Zuid-Holland (PV)";211626
"2014";"Zuid-Holland (PV)";217573
"2015";"Zuid-Holland (PV)";221441
"2016";"Zuid-Holland (PV)";232144
"2017";"Zuid-Holland (PV)";254146
"2018";"Zuid-Holland (PV)";280460
"2019";"Zuid-Holland (PV)";305261
"2020";"Zuid-Holland (PV)";333763
"2021";"Zuid-Holland (PV)";384214
"2022";"Zuid-Holland (PV)";425469
"2023";"Zuid-Holland (PV)";410408
"1995";"Zeeland (PV)";75095
"1996";"Zeeland (PV)";80457
"1997";"Zeeland (PV)";86653
"1998";"Zeeland (PV)";92769
"1999";"Zeeland (PV)";103545
"2000";"Zeeland (PV)";118726
"2001";"Zeeland (PV)";135287
"2002";"Zeeland (PV)";151333
"2003";"Zeeland (PV)";167227
"2004";"Zeeland (PV)";176675
"2005";"Zeeland (PV)";189534
"2006";"Zeeland (PV)";199519
"2007";"Zeeland (PV)";203238
"2008";"Zeeland (PV)";206965
"2009";"Zeeland (PV)";196518
"2010";"Zeeland (PV)";197788
"2011";"Zeeland (PV)";197952
"2012";"Zeeland (PV)";188728
"2013";"Zeeland (PV)";183907
"2014";"Zeeland (PV)";186748
"2015";"Zeeland (PV)";193489
"2016";"Zeeland (PV)";202262
"2017";"Zeeland (PV)";213611
"2018";"Zeeland (PV)";220889
"2019";"Zeeland (PV)";242998
"2020";"Zeeland (PV)";259014
"2021";"Zeeland (PV)";294022
"2022";"Zeeland (PV)";326521
"2023";"Zeeland (PV)";328452
"1995";"Noord-Brabant (PV)";100121
"1996";"Noord-Brabant (PV)";111137
"1997";"Noord-Brabant (PV)";123208
"1998";"Noord-Brabant (PV)";135731
"1999";"Noord-Brabant (PV)";156914
"2000";"Noord-Brabant (PV)";185790
"2001";"Noord-Brabant (PV)";208137
"2002";"Noord-Brabant (PV)";222348
"2003";"Noord-Brabant (PV)";228582
"2004";"Noord-Brabant (PV)";234885
"2005";"Noord-Brabant (PV)";244063
"2006";"Noord-Brabant (PV)";258691
"2007";"Noord-Brabant (PV)";271394
"2008";"Noord-Brabant (PV)";277906
"2009";"Noord-Brabant (PV)";258962
"2010";"Noord-Brabant (PV)";254941
"2011";"Noord-Brabant (PV)";252551
"2012";"Noord-Brabant (PV)";240127
"2013";"Noord-Brabant (PV)";221039
"2014";"Noord-Brabant (PV)";228412
"2015";"Noord-Brabant (PV)";235669
"2016";"Noord-Brabant (PV)";248763
"2017";"Noord-Brabant (PV)";268514
"2018";"Noord-Brabant (PV)";290569
"2019";"Noord-Brabant (PV)";310254
"2020";"Noord-Brabant (PV)";337960
"2021";"Noord-Brabant (PV)";385036
"2022";"Noord-Brabant (PV)";426539
"2023";"Noord-Brabant (PV)";418547
"1995";"Limburg (PV)";94311
"1996";"Limburg (PV)";103070
"1997";"Limburg (PV)";113429
"1998";"Limburg (PV)";122198
"1999";"Limburg (PV)";139342
"2000";"Limburg (PV)";157384
"2001";"Limburg (PV)";164674
"2002";"Limburg (PV)";174831
"2003";"Limburg (PV)";178283
"2004";"Limburg (PV)";182746
"2005";"Limburg (PV)";191026
"2006";"Limburg (PV)";201145
"2007";"Limburg (PV)";206883
"2008";"Limburg (PV)";208894
"2009";"Limburg (PV)";197055
"2010";"Limburg (PV)";195206
"2011";"Limburg (PV)";198167
"2012";"Limburg (PV)";189845
"2013";"Limburg (PV)";179427
"2014";"Limburg (PV)";186408
"2015";"Limburg (PV)";191829
"2016";"Limburg (PV)";199165
"2017";"Limburg (PV)";212920
"2018";"Limburg (PV)";229286
"2019";"Limburg (PV)";243850
"2020";"Limburg (PV)";263910
"2021";"Limburg (PV)";300777
"2022";"Limburg (PV)";330567
"2023";"Limburg (PV)";329001
